"","single_use_utensil_bylaw_opinion","age","gender","education","household_income","location"
"28","Strongly support","Female","60","Graduated from college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"29","Neither support nor oppose","Female","52","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"30","Somewhat oppose","Female","56","University graduate degree","$10,000-$14,999","TORONTO"
"31","Somewhat support","Female","33","University graduate degree","$95,000-$99,999","TORONTO"
"32","Strongly support","Female","48","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"33","Somewhat support","Male","33","University graduate degree","$65,000-$69,999","TORONTO"
"34","Somewhat support","Male","66","University undergraduate degree","Prefer not to answer","SCARBOROUGH"
"35","Somewhat support","Male","24","University graduate degree","$100,000-$124,999","NORTH YORK"
"36","Strongly support","Female","35","University graduate degree","Prefer not to answer","TORONTO"
"37","Don?t know","Female","81","Graduated high school","$30,000-$34,999","NORTH YORK"
"38","Somewhat support","Male","44","Some college / CEGEP / Trade School","$85,000-$89,999","NORTH YORK"
"39","Strongly support","Male","58","University graduate degree","$35,000-$39,999","TORONTO"
"40","Strongly support","Male","64","Graduated high school","$20,000-$24,999","TORONTO"
"41","Somewhat support","Female","37","University graduate degree","$125,000-$149,999","NORTH YORK"
"42","Neither support nor oppose","Female","31","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"43","Strongly support","Female","36","Graduated from college / CEGEP / Trade School","$40,000-$44,999","ETOBICOKE"
"44","Strongly support","Female","60","University graduate degree","Prefer not to answer","YORK"
"45","Strongly support","Male","33","University graduate degree","$80,000-$84,999","SCARBOROUGH"
"46","Neither support nor oppose","Male","71","University graduate degree","$30,000-$34,999","TORONTO"
"47","Strongly support","Female","78","Graduated from college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"48","Strongly support","Female","68","Graduated from college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"49","Strongly support","Male","26","Graduated from college / CEGEP / Trade School","$70,000-$74,999","TORONTO"
"50","Somewhat support","Female","35","University graduate degree","$80,000-$84,999","TORONTO"
"51","Strongly support","Male","36","University graduate degree","$55,000-$59,999","SCARBOROUGH"
"52","Strongly support","Male","37","Graduated from college / CEGEP / Trade School","$150,000-$199,999","EAST YORK"
"53","Strongly support","Male","36","Graduated from college / CEGEP / Trade School","$75,000-$79,999","TORONTO"
"54","Strongly support","Female","37","Graduated from college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"55","Somewhat support","Female","25","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"56","Strongly support","Male","33","Graduated from college / CEGEP / Trade School","$60,000-$64,999","SCARBOROUGH"
"57","Strongly support","Female","41","Some high school","$10,000-$14,999","TORONTO"
"58","Somewhat support","Male","26","Graduated high school","Less than $5,000","NORTH YORK"
"59","Strongly support","Male","32","Graduated high school","$15,000-$19,999","SCARBOROUGH"
"60","Somewhat support","Male","61","University undergraduate degree","$20,000-$24,999","TORONTO"
"61","Strongly support","Male","22","Graduated high school","$15,000-$19,999","TORONTO"
"62","Strongly support","Male","34","University graduate degree","$95,000-$99,999","NORTH YORK"
"63","Somewhat support","Male","21","Graduated high school","$75,000-$79,999","SCARBOROUGH"
"64","Strongly support","Female","61","Some university, but did not finish","Prefer not to answer","ETOBICOKE"
"65","Somewhat support","Male","48","Graduated from college / CEGEP / Trade School","$70,000-$74,999","EAST YORK"
"66","Strongly support","Male","70","Some university, but did not finish","$125,000-$149,999","TORONTO"
"67","Strongly support","Male","47","University graduate degree","$100,000-$124,999","NORTH YORK"
"68","Strongly support","Male","69","Some university, but did not finish","$150,000-$199,999","TORONTO"
"69","Somewhat support","Female","48","Graduated from college / CEGEP / Trade School","$35,000-$39,999","TORONTO"
"70","Strongly support","Male","54","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"71","Neither support nor oppose","Female","53","Graduated from college / CEGEP / Trade School","$45,000-$49,999","NORTH YORK"
"72","Strongly support","Male","66","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"73","Strongly support","Male","67","Some college / CEGEP / Trade School","$45,000-$49,999","TORONTO"
"74","Somewhat support","Male","78","Graduated high school","Prefer not to answer","NORTH YORK"
"75","Strongly support","Female","85","University undergraduate degree","Prefer not to answer","NORTH YORK"
"76","Strongly support","Male","53","University undergraduate degree","$150,000-$199,999","TORONTO"
"77","Somewhat support","Male","67","University graduate degree","$65,000-$69,999","TORONTO"
"78","Somewhat support","Female","59","Graduated from college / CEGEP / Trade School","$50,000-$54,999","ETOBICOKE"
"79","Strongly support","Male","33","Some college / CEGEP / Trade School","$80,000-$84,999","TORONTO"
"80","Neither support nor oppose","Male","25","University graduate degree","$15,000-$19,999","SCARBOROUGH"
"81","Somewhat oppose","Female","50","Some university, but did not finish","$125,000-$149,999","SCARBOROUGH"
"82","Somewhat oppose","Male","34","University graduate degree","$75,000-$79,999","NORTH YORK"
"83","Strongly support","Female","38","University undergraduate degree","$85,000-$89,999","NORTH YORK"
"84","Somewhat support","Female","38","Some college / CEGEP / Trade School","$10,000-$14,999","TORONTO"
"85","Strongly support","Female","34","Some college / CEGEP / Trade School","Prefer not to answer","SCARBOROUGH"
"86","Strongly support","Male","52","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"87","Strongly support","Male","44","University undergraduate degree","$40,000-$44,999","TORONTO"
"88","Strongly support","Female","37","Graduated from college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"89","Strongly support","Male","66","University undergraduate degree","Prefer not to answer","TORONTO"
"90","Somewhat support","Female","38","Some college / CEGEP / Trade School","$20,000-$24,999","TORONTO"
"91","Neither support nor oppose","Female","49","Graduated high school","$15,000-$19,999","TORONTO"
"92","Somewhat support","Female","51","Graduated from college / CEGEP / Trade School","$65,000-$69,999","SCARBOROUGH"
"93","Somewhat support","Male","57","Graduated from college / CEGEP / Trade School","$45,000-$49,999","ETOBICOKE"
"94","Strongly support","Female","68","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"95","Somewhat support","Female","65","Graduated from college / CEGEP / Trade School","$60,000-$64,999","TORONTO"
"96","Neither support nor oppose","Female","57","University undergraduate degree","$40,000-$44,999","YORK"
"97","Strongly support","Female","58","University undergraduate degree","$85,000-$89,999","EAST YORK"
"98","Strongly support","Female","21","University graduate degree","$70,000-$74,999","ETOBICOKE"
"99","Strongly support","Female","58","University undergraduate degree","$95,000-$99,999","SCARBOROUGH"
"100","Strongly support","Female","52","Graduated high school","$70,000-$74,999","ETOBICOKE"
"101","Neither support nor oppose","Female","31","University undergraduate degree","Prefer not to answer","TORONTO"
"102","Strongly support","Female","39","Graduated from college / CEGEP / Trade School","$20,000-$24,999","ETOBICOKE"
"103","Somewhat support","Male","60","Graduated from college / CEGEP / Trade School","$45,000-$49,999","TORONTO"
"104","Strongly oppose","Male","73","Graduated from college / CEGEP / Trade School","$70,000-$74,999","TORONTO"
"105","Somewhat oppose","Male","42","University graduate degree","Prefer not to answer","NORTH YORK"
"106","Strongly support","Female","34","University undergraduate degree","$200,000-$249,999","TORONTO"
"107","Strongly oppose","Female","43","Graduated from college / CEGEP / Trade School","$150,000-$199,999","ETOBICOKE"
"108","Somewhat support","Female","31","University graduate degree","$60,000-$64,999","TORONTO"
"109","Somewhat support","Male","62","University undergraduate degree","$60,000-$64,999","TORONTO"
"110","Strongly support","Female","57","Graduated from college / CEGEP / Trade School","$15,000-$19,999","TORONTO"
"111","Strongly support","Female","35","University undergraduate degree","$65,000-$69,999","ETOBICOKE"
"112","Neither support nor oppose","Male","57","University undergraduate degree","$200,000-$249,999","TORONTO"
"113","Strongly support","Male","65","University graduate degree","$80,000-$84,999","ETOBICOKE"
"114","Strongly support","Female","48","Graduated high school","$35,000-$39,999","NORTH YORK"
"115","Strongly support","Male","80","Graduated high school","$65,000-$69,999","SCARBOROUGH"
"116","Strongly oppose","Male","35","Graduated high school","$30,000-$34,999","EAST YORK"
"117","Strongly oppose","Male","66","Some college / CEGEP / Trade School","$45,000-$49,999","SCARBOROUGH"
"118","Somewhat support","Female","30","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"119","Don?t know","Male","77","Some high school","$40,000-$44,999","SCARBOROUGH"
"120","Somewhat oppose","Female","47","Graduated from college / CEGEP / Trade School","$125,000-$149,999","TORONTO"
"121","Somewhat support","Female","27","University undergraduate degree","$75,000-$79,999","YORK"
"122","Strongly support","Male","65","Graduated high school","$30,000-$34,999","NORTH YORK"
"123","Strongly oppose","Female","32","Graduated high school","$50,000-$54,999","ETOBICOKE"
"124","Somewhat oppose","Male","61","Graduated high school","$15,000-$19,999","SCARBOROUGH"
"125","Strongly support","Female","67","Graduated from college / CEGEP / Trade School","$55,000-$59,999","EAST YORK"
"126","Neither support nor oppose","Female","32","University undergraduate degree","Less than $5,000","NORTH YORK"
"127","Somewhat oppose","Female","69","Some university, but did not finish","Prefer not to answer","YORK"
"128","Neither support nor oppose","Female","62","Some university, but did not finish","$60,000-$64,999","NORTH YORK"
"129","Somewhat support","Male","65","Graduated from college / CEGEP / Trade School","$100,000-$124,999","SCARBOROUGH"
"130","Strongly support","Female","49","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"131","Somewhat support","Female","42","University undergraduate degree","$125,000-$149,999","TORONTO"
"132","Strongly support","Female","31","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"133","Strongly support","Female","63","Some university, but did not finish","$70,000-$74,999","TORONTO"
"134","Neither support nor oppose","Female","68","University undergraduate degree","Prefer not to answer","ETOBICOKE"
"135","Neither support nor oppose","Female","78","Some college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"136","Somewhat support","Female","47","University graduate degree","$125,000-$149,999","TORONTO"
"137","Somewhat support","Female","70","Some university, but did not finish","$65,000-$69,999","NORTH YORK"
"138","Somewhat oppose","Male","67","University undergraduate degree","$100,000-$124,999","TORONTO"
"139","Strongly support","Female","64","University graduate degree","$150,000-$199,999","NORTH YORK"
"140","Strongly support","Female","37","Graduated from college / CEGEP / Trade School","$150,000-$199,999","EAST YORK"
"141","Strongly support","Female","39","University undergraduate degree","$125,000-$149,999","TORONTO"
"142","Strongly support","Female","34","University undergraduate degree","$100,000-$124,999","YORK"
"143","Somewhat support","Female","64","Some university, but did not finish","$100,000-$124,999","NORTH YORK"
"144","Neither support nor oppose","Male","54","University undergraduate degree","$65,000-$69,999","TORONTO"
"145","Strongly support","Male","61","Some college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"146","Neither support nor oppose","Female","31","University graduate degree","$50,000-$54,999","SCARBOROUGH"
"147","Strongly support","Male","29","University graduate degree","$75,000-$79,999","NORTH YORK"
"148","Strongly support","Male","42","University undergraduate degree","$100,000-$124,999","EAST YORK"
"149","Somewhat support","Male","66","University undergraduate degree","Prefer not to answer","EAST YORK"
"150","Strongly support","Female","69","Graduated high school","$25,000-$29,999","ETOBICOKE"
"151","Strongly support","Female","57","Graduated from college / CEGEP / Trade School","$125,000-$149,999","EAST YORK"
"152","Strongly support","Male","70","Some university, but did not finish","$30,000-$34,999","TORONTO"
"153","Somewhat oppose","Female","63","University undergraduate degree","$80,000-$84,999","ETOBICOKE"
"154","Somewhat support","Female","28","University undergraduate degree","$40,000-$44,999","SCARBOROUGH"
"155","Somewhat support","Female","31","University graduate degree","$65,000-$69,999","TORONTO"
"156","Strongly support","Male","38","University undergraduate degree","$150,000-$199,999","NORTH YORK"
"157","Somewhat support","Female","48","Some college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"158","Don?t know","Female","36","Graduated high school","$100,000-$124,999","YORK"
"159","Somewhat oppose","Male","72","University graduate degree","$150,000-$199,999","TORONTO"
"160","Somewhat support","Male","64","University graduate degree","$200,000-$249,999","TORONTO"
"161","Neither support nor oppose","Female","70","University undergraduate degree","Prefer not to answer","NORTH YORK"
"162","Strongly support","Female","28","University graduate degree","$70,000-$74,999","YORK"
"163","Neither support nor oppose","Male","61","University undergraduate degree","$100,000-$124,999","EAST YORK"
"164","Strongly support","Male","61","University undergraduate degree","$65,000-$69,999","SCARBOROUGH"
"165","Strongly support","Male","61","Some university, but did not finish","$150,000-$199,999","YORK"
"166","Strongly support","Male","53","University graduate degree","$150,000-$199,999","TORONTO"
"167","Strongly support","Female","19","Graduated high school","$35,000-$39,999","SCARBOROUGH"
"168","Strongly support","Female","73","University undergraduate degree","$20,000-$24,999","TORONTO"
"169","Strongly support","Female","69","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"170","Somewhat support","Female","66","Graduated high school","Prefer not to answer","NORTH YORK"
"171","Somewhat oppose","Male","80","Some college / CEGEP / Trade School","$55,000-$59,999","SCARBOROUGH"
"172","Somewhat support","Female","30","University graduate degree","$70,000-$74,999","TORONTO"
"173","Strongly support","Female","36","Some university, but did not finish","$100,000-$124,999","TORONTO"
"174","Strongly support","Female","65","Some college / CEGEP / Trade School","Prefer not to answer","ETOBICOKE"
"175","Somewhat support","Female","29","University undergraduate degree","$75,000-$79,999","NORTH YORK"
"176","Neither support nor oppose","Female","47","Graduated from college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"177","Somewhat support","Male","40","University undergraduate degree","$35,000-$39,999","TORONTO"
"178","Strongly support","Male","52","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"179","Somewhat support","Female","64","Graduated high school","$90,000-$94,999","NORTH YORK"
"180","Strongly oppose","Male","62","University undergraduate degree","$100,000-$124,999","EAST YORK"
"181","Somewhat support","Female","60","University undergraduate degree","$50,000-$54,999","TORONTO"
"182","Somewhat support","Male","42","University graduate degree","$50,000-$54,999","NORTH YORK"
"183","Somewhat support","Female","68","Graduated high school","$25,000-$29,999","TORONTO"
"184","Strongly support","Male","56","University graduate degree","$150,000-$199,999","TORONTO"
"185","Strongly support","Female","61","University undergraduate degree","$125,000-$149,999","SCARBOROUGH"
"186","Somewhat support","Female","31","University undergraduate degree","$65,000-$69,999","NORTH YORK"
"187","Strongly support","Female","71","University graduate degree","$35,000-$39,999","TORONTO"
"188","Strongly support","Male","62","Some college / CEGEP / Trade School","$15,000-$19,999","TORONTO"
"189","Strongly support","Female","72","Graduated from college / CEGEP / Trade School","$100,000-$124,999","NORTH YORK"
"190","Strongly support","Female","52","Graduated high school","$80,000-$84,999","SCARBOROUGH"
"191","Strongly support","Female","69","University undergraduate degree","Prefer not to answer","NORTH YORK"
"192","Somewhat support","Female","27","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"193","Somewhat support","Female","62","Some college / CEGEP / Trade School","$35,000-$39,999","NORTH YORK"
"194","Somewhat support","Female","34","Some university, but did not finish","$40,000-$44,999","ETOBICOKE"
"195","Strongly support","Male","32","University undergraduate degree","$150,000-$199,999","NORTH YORK"
"196","Strongly support","Male","65","University undergraduate degree","$200,000-$249,999","ETOBICOKE"
"197","Somewhat support","Male","64","University graduate degree","$80,000-$84,999","YORK"
"198","Strongly support","Male","35","University undergraduate degree","$125,000-$149,999","TORONTO"
"199","Somewhat support","Female","58","University graduate degree","$150,000-$199,999","TORONTO"
"200","Strongly support","Female","35","University undergraduate degree","$100,000-$124,999","TORONTO"
"201","Somewhat support","Female","69","University undergraduate degree","$80,000-$84,999","NORTH YORK"
"202","Strongly support","Female","25","Graduated from college / CEGEP / Trade School","Less than $5,000","ETOBICOKE"
"203","Somewhat oppose","Male","61","University graduate degree","$50,000-$54,999","NORTH YORK"
"204","Strongly support","Female","61","Some university, but did not finish","Less than $5,000","SCARBOROUGH"
"205","Somewhat support","Female","68","Graduated high school","$95,000-$99,999","NORTH YORK"
"206","Strongly support","Female","69","University undergraduate degree","$20,000-$24,999","TORONTO"
"207","Strongly support","Male","47","University graduate degree","$100,000-$124,999","NORTH YORK"
"208","Don?t know","Male","63","Some college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"209","Neither support nor oppose","Female","36","Some college / CEGEP / Trade School","$30,000-$34,999","SCARBOROUGH"
"210","Somewhat support","Female","39","Graduated high school","$55,000-$59,999","TORONTO"
"211","Somewhat support","Male","35","University undergraduate degree","$100,000-$124,999","EAST YORK"
"212","Strongly support","Male","38","Graduated from college / CEGEP / Trade School","$10,000-$14,999","NORTH YORK"
"213","Strongly support","Female","73","University graduate degree","$100,000-$124,999","TORONTO"
"214","Somewhat support","Female","30","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"215","Strongly support","Female","57","Graduated from college / CEGEP / Trade School","$50,000-$54,999","SCARBOROUGH"
"216","Strongly support","Male","48","University undergraduate degree","$40,000-$44,999","ETOBICOKE"
"217","Strongly support","Female","59","University undergraduate degree","$125,000-$149,999","TORONTO"
"218","Somewhat support","Male","67","University undergraduate degree","$250,000 or more","TORONTO"
"219","Strongly support","Female","64","Graduated from college / CEGEP / Trade School","$80,000-$84,999","SCARBOROUGH"
"220","Strongly support","Female","25","University graduate degree","$125,000-$149,999","TORONTO"
"221","Strongly support","Male","41","Some college / CEGEP / Trade School","$100,000-$124,999","TORONTO"
"222","Strongly support","Female","44","University graduate degree","$85,000-$89,999","TORONTO"
"223","Strongly support","Female","51","University graduate degree","$25,000-$29,999","SCARBOROUGH"
"224","Strongly support","Female","30","University graduate degree","$30,000-$34,999","SCARBOROUGH"
"225","Strongly support","Female","34","University undergraduate degree","Prefer not to answer","TORONTO"
"226","Strongly support","Female","28","Graduated from college / CEGEP / Trade School","$100,000-$124,999","ETOBICOKE"
"227","Strongly support","Female","62","University undergraduate degree","Prefer not to answer","EAST YORK"
"228","Strongly support","Male","37","University undergraduate degree","$45,000-$49,999","TORONTO"
"229","Neither support nor oppose","Male","52","Some university, but did not finish","$30,000-$34,999","TORONTO"
"230","Neither support nor oppose","Male","19","Graduated high school","$20,000-$24,999","ETOBICOKE"
"231","Neither support nor oppose","Female","33","Graduated from college / CEGEP / Trade School","$250,000 or more","SCARBOROUGH"
"232","Strongly oppose","Male","80","University undergraduate degree","$90,000-$94,999","NORTH YORK"
"233","Somewhat support","Female","34","Graduated from college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"234","Neither support nor oppose","Male","57","Some high school","$95,000-$99,999","SCARBOROUGH"
"235","Somewhat support","Female","70","Graduated high school","$25,000-$29,999","NORTH YORK"
"236","Strongly support","Male","67","Some college / CEGEP / Trade School","$125,000-$149,999","NORTH YORK"
"237","Strongly support","Male","77","University undergraduate degree","$150,000-$199,999","TORONTO"
"238","Strongly support","Male","35","University undergraduate degree","$50,000-$54,999","TORONTO"
"239","Strongly support","Female","68","Graduated from college / CEGEP / Trade School","$55,000-$59,999","ETOBICOKE"
"240","Neither support nor oppose","Male","31","University graduate degree","$40,000-$44,999","ETOBICOKE"
"241","Don?t know","Female","56","Some college / CEGEP / Trade School","Prefer not to answer","ETOBICOKE"
"242","Don?t know","Male","32","Graduated high school","$80,000-$84,999","SCARBOROUGH"
"243","Strongly support","Female","34","Graduated from college / CEGEP / Trade School","$100,000-$124,999","YORK"
"244","Strongly oppose","Female","66","Graduated high school","Prefer not to answer","NORTH YORK"
"245","Somewhat support","Female","54","University undergraduate degree","$20,000-$24,999","SCARBOROUGH"
"246","Strongly support","Female","67","University graduate degree","Prefer not to answer","TORONTO"
"247","Somewhat oppose","Female","63","Some university, but did not finish","$15,000-$19,999","TORONTO"
"248","Strongly support","Male","68","Graduated from college / CEGEP / Trade School","$25,000-$29,999","TORONTO"
"249","Strongly support","Male","64","University undergraduate degree","$60,000-$64,999","NORTH YORK"
"250","Strongly support","Male","61","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"251","Somewhat support","Female","51","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"252","Somewhat support","Male","72","Some university, but did not finish","$70,000-$74,999","NORTH YORK"
"253","Somewhat support","Female","29","University undergraduate degree","Prefer not to answer","NORTH YORK"
"254","Strongly support","Male","56","University graduate degree","$150,000-$199,999","ETOBICOKE"
"255","Strongly support","Male","61","University undergraduate degree","$200,000-$249,999","TORONTO"
"256","Neither support nor oppose","Male","77","Graduated from college / CEGEP / Trade School","$40,000-$44,999","ETOBICOKE"
"257","Strongly support","Female","32","University undergraduate degree","Prefer not to answer","YORK"
"258","Strongly support","Female","59","University undergraduate degree","$80,000-$84,999","SCARBOROUGH"
"259","Strongly support","Male","72","Graduated from college / CEGEP / Trade School","$35,000-$39,999","SCARBOROUGH"
"260","Strongly support","Female","54","Some university, but did not finish","$5,000-$9,999","EAST YORK"
"261","Somewhat support","Female","47","University undergraduate degree","$95,000-$99,999","NORTH YORK"
"262","Somewhat support","Female","47","Some university, but did not finish","$45,000-$49,999","NORTH YORK"
"263","Somewhat support","Male","26","Graduated high school","$50,000-$54,999","EAST YORK"
"264","Strongly support","Male","71","University undergraduate degree","$30,000-$34,999","TORONTO"
"265","Strongly support","Male","40","Graduated high school","$50,000-$54,999","EAST YORK"
"266","Somewhat support","Male","30","University undergraduate degree","$50,000-$54,999","TORONTO"
"267","Somewhat support","Female","34","Some university, but did not finish","$20,000-$24,999","NORTH YORK"
"268","Strongly support","Female","34","University graduate degree","$85,000-$89,999","TORONTO"
"269","Strongly support","Male","39","University undergraduate degree","$95,000-$99,999","SCARBOROUGH"
"270","Strongly support","Female","36","University graduate degree","$95,000-$99,999","TORONTO"
"271","Strongly support","Female","40","Graduated from college / CEGEP / Trade School","$35,000-$39,999","YORK"
"272","Neither support nor oppose","Female","33","Some high school","$25,000-$29,999","YORK"
"273","Somewhat support","Female","42","University undergraduate degree","$250,000 or more","TORONTO"
"274","Strongly support","Female","40","University graduate degree","$125,000-$149,999","NORTH YORK"
"275","Strongly support","Female","31","University undergraduate degree","$45,000-$49,999","TORONTO"
"276","Somewhat oppose","Female","19","Graduated from college / CEGEP / Trade School","$25,000-$29,999","SCARBOROUGH"
"277","Somewhat support","Female","56","Some college / CEGEP / Trade School","$20,000-$24,999","YORK"
"278","Neither support nor oppose","Male","26","University undergraduate degree","Prefer not to answer","SCARBOROUGH"
"279","Neither support nor oppose","Female","58","Some university, but did not finish","$30,000-$34,999","NORTH YORK"
"280","Somewhat support","Female","70","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"281","Strongly support","Female","61","Some college / CEGEP / Trade School","$10,000-$14,999","SCARBOROUGH"
"282","Strongly support","Male","49","University undergraduate degree","$200,000-$249,999","TORONTO"
"283","Strongly support","Male","47","University undergraduate degree","$125,000-$149,999","EAST YORK"
"284","Somewhat support","Female","68","University undergraduate degree","$70,000-$74,999","ETOBICOKE"
"285","Strongly support","Female","75","University graduate degree","$95,000-$99,999","TORONTO"
"286","Strongly support","Female","66","University undergraduate degree","$95,000-$99,999","ETOBICOKE"
"287","Strongly support","Male","69","University undergraduate degree","$65,000-$69,999","ETOBICOKE"
"288","Strongly support","Female","52","Graduated high school","$100,000-$124,999","NORTH YORK"
"289","Strongly support","Female","67","Some college / CEGEP / Trade School","$30,000-$34,999","TORONTO"
"290","Strongly support","Female","38","University undergraduate degree","$45,000-$49,999","SCARBOROUGH"
"291","Strongly oppose","Female","29","University graduate degree","$45,000-$49,999","TORONTO"
"292","Somewhat support","Male","63","Some university, but did not finish","$60,000-$64,999","NORTH YORK"
"293","Neither support nor oppose","Male","24","Graduated high school","$100,000-$124,999","TORONTO"
"294","Somewhat support","Female","37","University graduate degree","$5,000-$9,999","ETOBICOKE"
"295","Somewhat oppose","Female","48","Graduated from college / CEGEP / Trade School","$15,000-$19,999","YORK"
"296","Somewhat support","Female","68","Graduated high school","$45,000-$49,999","EAST YORK"
"297","Somewhat support","Female","18","Some college / CEGEP / Trade School","$200,000-$249,999","TORONTO"
"298","Strongly support","Female","39","Some college / CEGEP / Trade School","$10,000-$14,999","TORONTO"
"299","Somewhat support","Male","36","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"300","Strongly support","Female","47","University undergraduate degree","$45,000-$49,999","TORONTO"
"301","Strongly support","Male","42","Some university, but did not finish","$60,000-$64,999","TORONTO"
"302","Strongly support","Female","64","Some university, but did not finish","$25,000-$29,999","SCARBOROUGH"
"303","Strongly support","Male","46","Graduated from college / CEGEP / Trade School","$50,000-$54,999","TORONTO"
"304","Somewhat oppose","Female","45","University undergraduate degree","$15,000-$19,999","NORTH YORK"
"305","Strongly support","Male","79","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"306","Somewhat support","Male","59","Graduated from college / CEGEP / Trade School","$15,000-$19,999","TORONTO"
"307","Somewhat support","Male","32","University graduate degree","$20,000-$24,999","EAST YORK"
"308","Somewhat support","Female","22","Graduated from college / CEGEP / Trade School","$80,000-$84,999","NORTH YORK"
"309","Somewhat oppose","Male","58","Graduated from college / CEGEP / Trade School","$50,000-$54,999","SCARBOROUGH"
"310","Strongly support","Male","42","Graduated high school","$10,000-$14,999","SCARBOROUGH"
"311","Strongly support","Female","24","Some university, but did not finish","$10,000-$14,999","YORK"
"312","Neither support nor oppose","Female","49","Graduated high school","$15,000-$19,999","TORONTO"
"313","Strongly support","Female","42","University undergraduate degree","$10,000-$14,999","NORTH YORK"
"314","Strongly support","Female","41","University graduate degree","$45,000-$49,999","ETOBICOKE"
"315","Strongly support","Male","39","University undergraduate degree","$95,000-$99,999","TORONTO"
"316","Don?t know","Female","37","University undergraduate degree","$55,000-$59,999","SCARBOROUGH"
"317","Strongly support","Female","30","Graduated from college / CEGEP / Trade School","$75,000-$79,999","ETOBICOKE"
"318","Somewhat oppose","Female","72","Graduated high school","$40,000-$44,999","ETOBICOKE"
